CUSEC,CUMUN,CSEC,CDIS,CMUN,CPRO,CCA,CUDIS,CLAU2,NPRO,NCA,CNUT0,CNUT1,CNUT2,CNUT3,NMUN,airbnb_listings,airbnb_entire_homes,airbnb_price_median,airbnb_accommodates_total,airbnb_revenue_total,airbnb_hosts_unicos,airbnb_con_licencia,isla,fuente,granularidad,hut_registros,hut_plazas,hut_habitaciones,viviendas_vacias_pct_ccaa,viviendas_uso_esporadico_pct_ccaa,viviendas_turisticas_pct_ccaa_2025M05,plazas_turisticas
0700101001,07001,001,01,001,07,04,0700101,07001,"Balears, Illes",Illes Balears,ES,5,3,2,Alaró,8,7,856.0,52,188738,7,8,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,52
0700101002,07001,002,01,001,07,04,0700101,07001,"Balears, Illes",Illes Balears,ES,5,3,2,Alaró,59,57,457.7,353,1330661,45,59,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,353
0700102001,07001,001,02,001,07,04,0700102,07001,"Balears, Illes",Illes Balears,ES,5,3,2,Alaró,2,2,1580.125,20,23582,2,2,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,20
0700201001,07002,001,01,002,07,04,0700201,07002,"Balears, Illes",Illes Balears,ES,5,3,3,Alaior,11,11,368.1,70,122510,8,11,Menorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,70
0700201002,07002,002,01,002,07,04,0700201,07002,"Balears, Illes",Illes Balears,ES,5,3,3,Alaior,356,352,364.5,1967,3878460,129,339,Menorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,1967
0700202001,07002,001,02,002,07,04,0700202,07002,"Balears, Illes",Illes Balears,ES,5,3,3,Alaior,14,14,411.71,102,140798,14,14,Menorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,102
0700202002,07002,002,02,002,07,04,0700202,07002,"Balears, Illes",Illes Balears,ES,5,3,3,Alaior,11,11,629.33,76,177469,11,10,Menorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,76
0700202003,07002,003,02,002,07,04,0700202,07002,"Balears, Illes",Illes Balears,ES,5,3,3,Alaior,235,231,295.0,1170,3021631,115,228,Menorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,1170
0700301001,07003,001,01,003,07,04,0700301,07003,"Balears, Illes",Illes Balears,ES,5,3,2,Alcúdia,68,59,404.0,376,669002,43,66,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,376
0700301002,07003,002,01,003,07,04,0700301,07003,"Balears, Illes",Illes Balears,ES,5,3,2,Alcúdia,25,25,366.86,145,155943,21,25,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,145
0700301003,07003,003,01,003,07,04,0700301,07003,"Balears, Illes",Illes Balears,ES,5,3,2,Alcúdia,3,3,445.14,22,50000,3,3,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,22
0700301004,07003,004,01,003,07,04,0700301,07003,"Balears, Illes",Illes Balears,ES,5,3,2,Alcúdia,11,11,1497.835,79,92150,8,11,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,79
0700302001,07003,001,02,003,07,04,0700302,07003,"Balears, Illes",Illes Balears,ES,5,3,2,Alcúdia,503,503,503.78999999999996,3445,7035628,212,501,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,3445
0700303001,07003,001,03,003,07,04,0700303,07003,"Balears, Illes",Illes Balears,ES,5,3,2,Alcúdia,52,50,353.5,240,1384646,30,52,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,240
0700303002,07003,002,03,003,07,04,0700303,07003,"Balears, Illes",Illes Balears,ES,5,3,2,Alcúdia,89,88,625.485,637,2029603,56,89,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,637
0700303003,07003,003,03,003,07,04,0700303,07003,"Balears, Illes",Illes Balears,ES,5,3,2,Alcúdia,19,18,383.0,106,458293,18,19,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,106
0700304001,07003,001,04,003,07,04,0700304,07003,"Balears, Illes",Illes Balears,ES,5,3,2,Alcúdia,292,288,367.125,1493,4513918,116,290,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,1493
0700304002,07003,002,04,003,07,04,0700304,07003,"Balears, Illes",Illes Balears,ES,5,3,2,Alcúdia,159,152,333.4,832,1810714,89,159,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,832
0700304003,07003,003,04,003,07,04,0700304,07003,"Balears, Illes",Illes Balears,ES,5,3,2,Alcúdia,128,127,374.42,638,2054199,83,127,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,638
0700401001,07004,001,01,004,07,04,0700401,07004,"Balears, Illes",Illes Balears,ES,5,3,2,Algaida,9,8,455.0,46,167137,7,9,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,46
0700401002,07004,002,01,004,07,04,0700401,07004,"Balears, Illes",Illes Balears,ES,5,3,2,Algaida,40,40,736.0,241,920790,26,40,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,241
0700501001,07005,001,01,005,07,04,0700501,07005,"Balears, Illes",Illes Balears,ES,5,3,2,Andratx,12,12,290.4,54,363772,12,12,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,54
0700501002,07005,002,01,005,07,04,0700501,07005,"Balears, Illes",Illes Balears,ES,5,3,2,Andratx,17,14,510.91999999999996,119,172530,14,17,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,119
0700501003,07005,003,01,005,07,04,0700501,07005,"Balears, Illes",Illes Balears,ES,5,3,2,Andratx,19,19,510.975,119,233917,16,19,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,119
0700502001,07005,001,02,005,07,04,0700502,07005,"Balears, Illes",Illes Balears,ES,5,3,2,Andratx,100,89,854.665,683,1847396,57,100,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,683
0700503001,07005,001,03,005,07,04,0700503,07005,"Balears, Illes",Illes Balears,ES,5,3,2,Andratx,32,32,429.33500000000004,190,982703,19,32,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,190
0700601001,07006,001,01,006,07,04,0700601,07006,"Balears, Illes",Illes Balears,ES,5,3,2,Artà,233,220,423.78499999999997,1370,2287222,125,232,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,1370
0700601002,07006,002,01,006,07,04,0700601,07006,"Balears, Illes",Illes Balears,ES,5,3,2,Artà,48,46,355.57,278,453365,36,48,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,278
0700601003,07006,003,01,006,07,04,0700601,07006,"Balears, Illes",Illes Balears,ES,5,3,2,Artà,62,60,407.43,359,305747,33,62,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,359
0700602001,07006,001,02,006,07,04,0700602,07006,"Balears, Illes",Illes Balears,ES,5,3,2,Artà,36,35,431.355,210,125187,32,36,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,210
0700602002,07006,002,02,006,07,04,0700602,07006,"Balears, Illes",Illes Balears,ES,5,3,2,Artà,52,49,400.43,300,235437,39,52,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,300
0700701001,07007,001,01,007,07,04,0700701,07007,"Balears, Illes",Illes Balears,ES,5,3,2,Banyalbufar,58,50,310.0,303,1470785,47,58,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,303
0700801001,07008,001,01,008,07,04,0700801,07008,"Balears, Illes",Illes Balears,ES,5,3,2,Binissalem,19,19,474.9,154,190685,18,19,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,154
0700801002,07008,002,01,008,07,04,0700801,07008,"Balears, Illes",Illes Balears,ES,5,3,2,Binissalem,14,14,320.0,82,204502,12,14,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,82
0700802001,07008,001,02,008,07,04,0700802,07008,"Balears, Illes",Illes Balears,ES,5,3,2,Binissalem,27,27,486.8,184,448639,23,27,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,184
0700802002,07008,002,02,008,07,04,0700802,07008,"Balears, Illes",Illes Balears,ES,5,3,2,Binissalem,15,14,371.0,104,272108,15,15,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,104
0700802003,07008,003,02,008,07,04,0700802,07008,"Balears, Illes",Illes Balears,ES,5,3,2,Binissalem,5,5,905.0,47,71040,5,5,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,47
0700901001,07009,001,01,009,07,04,0700901,07009,"Balears, Illes",Illes Balears,ES,5,3,2,Búger,141,140,393.33,930,910068,69,140,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,930
0701001001,07010,001,01,010,07,04,0701001,07010,"Balears, Illes",Illes Balears,ES,5,3,2,Bunyola,38,37,392.28499999999997,250,1102079,31,38,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,250
0701001002,07010,002,01,010,07,04,0701001,07010,"Balears, Illes",Illes Balears,ES,5,3,2,Bunyola,6,6,561.33,43,256435,6,6,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,43
0701101001,07011,001,01,011,07,04,0701101,07011,"Balears, Illes",Illes Balears,ES,5,3,2,Calvià,1,1,567.0,6,13608,1,1,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,6
0701101002,07011,002,01,011,07,04,0701101,07011,"Balears, Illes",Illes Balears,ES,5,3,2,Calvià,8,8,486.67,40,154670,6,8,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,40
0701101003,07011,003,01,011,07,04,0701101,07011,"Balears, Illes",Illes Balears,ES,5,3,2,Calvià,21,16,404.5,89,274773,13,21,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,89
0701102001,07011,001,02,011,07,04,0701102,07011,"Balears, Illes",Illes Balears,ES,5,3,2,Calvià,10,10,1218.0,80,413276,10,10,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,80
0701102002,07011,002,02,011,07,04,0701102,07011,"Balears, Illes",Illes Balears,ES,5,3,2,Calvià,39,37,939.71,245,832324,28,39,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,245
0701102003,07011,003,02,011,07,04,0701102,07011,"Balears, Illes",Illes Balears,ES,5,3,2,Calvià,14,14,1447.165,113,460530,13,14,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,113
0701102004,07011,004,02,011,07,04,0701102,07011,"Balears, Illes",Illes Balears,ES,5,3,2,Calvià,15,15,467.41499999999996,81,521552,14,15,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,81
