CDIS,consumo_p10_kwh,consumo_p25_kwh,consumo_p50_kwh,consumo_p75_kwh,consumo_p90_kwh,ratio_p10_p50,ratio_p25_p50,ratio_p90_p50,rango_p10_p90,gap_bajo_consumo_pct,airbnb_listings,airbnb_entire_homes,CMUN,NMUN,viviendas_totales,airbnb_per_1000_viv
0700101,1016.0,2021.0,3507.0,5301.0,7614.0,0.28970630168234957,0.5762760193897919,2.1710863986313087,6598.0,71.02936983176504,67.0,64.0,07001,Alaró,3246,20.640788662969808
0700102,920.0,1982.0,3181.0,5084.0,7858.0,0.28921722728701665,0.6230745048726816,2.470292360892801,6938.0,71.07827727129833,2.0,2.0,07001,Alaró,3246,0.6161429451632779
0700301,1103.0,21.0,3359.0,4882.0,6477.0,0.3283715391485561,0.006251860672819291,1.9282524560881216,5374.0,67.1628460851444,107.0,98.0,07003,Alcúdia,12711,8.417905750924396
0700302,823.0,1604.0,3177.0,5348.0,822.0,0.25904941768964435,0.5048788164935474,0.2587346553352219,-1.0,74.09505823103557,503.0,503.0,07003,Alcúdia,12711,39.572024230981036
0700303,827.0,1755.0,3085.0,4758.0,659.0,0.2680713128038898,0.5688816855753647,0.21361426256077795,-168.0,73.19286871961101,160.0,156.0,07003,Alcúdia,12711,12.587522618204705
0700304,533.0,920.0,1925.0,3611.0,5387.0,0.2768831168831169,0.4779220779220779,2.7984415584415583,4854.0,72.3116883116883,579.0,567.0,07003,Alcúdia,12711,45.55109747462827
0700501,1083.0,1988.0,3226.0,4768.0,6785.0,0.33570985740855547,0.6162430254184749,2.103223806571606,5702.0,66.42901425914445,48.0,45.0,07005,Andratx,11753,4.084063643325108
0700502,652.0,128.0,2666.0,5312.0,9293.0,0.24456114028507125,0.04801200300075019,3.485746436609152,8641.0,75.54388597149287,100.0,89.0,07005,Andratx,11753,8.508465923593976
0700503,469.0,912.0,2146.0,4492.0,7045.0,0.21854613233923578,0.4249767008387698,3.282851817334576,6576.0,78.14538676607641,32.0,32.0,07005,Andratx,11753,2.7227090955500723
0700901,972.0,2077.0,3515.0,5471.0,7776.0,0.27652916073968703,0.590896159317212,2.2122332859174962,6804.0,72.3470839260313,141.0,140.0,07009,Búger,888,158.78378378378378
0701001,1383.0,2481.0,4054.0,6151.0,867.0,0.34114454859398124,0.6119881598421312,0.21386285150468673,-516.0,65.88554514060188,44.0,43.0,07010,Bunyola,3671,11.985834922364479
0701002,1001.0,187.0,3252.0,5338.0,7343.0,0.30781057810578105,0.057503075030750306,2.2579950799507995,6342.0,69.2189421894219,22.0,22.0,07010,Bunyola,3671,5.992917461182239
0701101,1215.0,2327.0,3962.0,6335.0,9334.0,0.306663301362948,0.5873296314992428,2.3558808682483594,8119.0,69.3336698637052,30.0,25.0,07011,Calvià,36492,0.8220979940808945
0701102,811.0,1489.0,2851.0,5062.0,8726.0,0.284461592423711,0.5222728867064188,3.0606804629954403,7915.0,71.55384075762889,78.0,76.0,07011,Calvià,36492,2.1374547846103256
0701103,715.0,1402.0,2592.0,4134.0,6249.0,0.27584876543209874,0.5408950617283951,2.4108796296296298,5534.0,72.41512345679013,90.0,83.0,07011,Calvià,36492,2.4662939822426835
0701104,1281.0,2178.0,3419.0,5039.0,7211.0,0.37467095642000586,0.637028370868675,2.1090962269669493,5930.0,62.532904357999406,35.0,35.0,07011,Calvià,36492,0.9591143264277102
0701105,636.0,1311.0,2618.0,4741.0,7997.0,0.24293353705118412,0.5007639419404125,3.0546218487394956,7361.0,75.70664629488158,84.0,78.0,07011,Calvià,36492,2.301874383426504
