Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Municipios;Consumo eléctrico;Total
Total Nacional;;;;Viviendas totales;26.623.708
Total Nacional;01 Andalucía;04 Almería;;Viviendas totales;433.763
Total Nacional;01 Andalucía;04 Almería;04001 Abla;Viviendas totales;1.076
Total Nacional;01 Andalucía;04 Almería;04002 Abrucena;Viviendas totales;921
Total Nacional;01 Andalucía;04 Almería;04003 Adra;Viviendas totales;12.315
Total Nacional;01 Andalucía;04 Almería;04006 Albox;Viviendas totales;6.919
Total Nacional;01 Andalucía;04 Almería;04011 Alhama de Almería;Viviendas totales;2.336
Total Nacional;01 Andalucía;04 Almería;04013 Almería;Viviendas totales;100.957
Total Nacional;01 Andalucía;04 Almería;04016 Antas;Viviendas totales;1.958
Total Nacional;01 Andalucía;04 Almería;04017 Arboleas;Viviendas totales;2.775
Total Nacional;01 Andalucía;04 Almería;04024 Benahadux;Viviendas totales;2.125
Total Nacional;01 Andalucía;04 Almería;04029 Berja;Viviendas totales;6.748
Total Nacional;01 Andalucía;04 Almería;04030 Canjáyar;Viviendas totales;1.124
Total Nacional;01 Andalucía;04 Almería;04031 Cantoria;Viviendas totales;2.499
Total Nacional;01 Andalucía;04 Almería;04032 Carboneras;Viviendas totales;6.292
Total Nacional;01 Andalucía;04 Almería;04035 Cuevas del Almanzora;Viviendas totales;10.472
Total Nacional;01 Andalucía;04 Almería;04037 Chirivel;Viviendas totales;1.477
Total Nacional;01 Andalucía;04 Almería;04038 Dalías;Viviendas totales;2.190
Total Nacional;01 Andalucía;04 Almería;04044 Fines;Viviendas totales;1.217
Total Nacional;01 Andalucía;04 Almería;04045 Fiñana;Viviendas totales;1.580
Total Nacional;01 Andalucía;04 Almería;04046 Fondón;Viviendas totales;1.452
Total Nacional;01 Andalucía;04 Almería;04047 Gádor;Viviendas totales;1.701
Total Nacional;01 Andalucía;04 Almería;04048 Gallardos, Los;Viviendas totales;1.814
Total Nacional;01 Andalucía;04 Almería;04049 Garrucha;Viviendas totales;7.060
Total Nacional;01 Andalucía;04 Almería;04050 Gérgal;Viviendas totales;1.153
Total Nacional;01 Andalucía;04 Almería;04052 Huércal de Almería;Viviendas totales;7.221
