Distritos;Percentil;Total
0100101 Alegría-Dulantzi distrito 01 *;Percentil 10 de consumo eléctrico en kwh;629
0100101 Alegría-Dulantzi distrito 01 *;Percentil 25 de consumo eléctrico en kwh;1.210
0100101 Alegría-Dulantzi distrito 01 *;Percentil 50 de consumo eléctrico en kwh;1.972
0100101 Alegría-Dulantzi distrito 01 *;Percentil 75 de consumo eléctrico en kwh;2.859
0100101 Alegría-Dulantzi distrito 01 *;Percentil 90 de consumo eléctrico en kwh;3.699
0100201 Amurrio distrito 01 *;Percentil 10 de consumo eléctrico en kwh;726
0100201 Amurrio distrito 01 *;Percentil 25 de consumo eléctrico en kwh;1.196
0100201 Amurrio distrito 01 *;Percentil 50 de consumo eléctrico en kwh;1.846
0100201 Amurrio distrito 01 *;Percentil 75 de consumo eléctrico en kwh;2.669
0100201 Amurrio distrito 01 *;Percentil 90 de consumo eléctrico en kwh;3.740
0100301 Aramaio distrito 01;Percentil 10 de consumo eléctrico en kwh;821
0100301 Aramaio distrito 01;Percentil 25 de consumo eléctrico en kwh;1.370
0100301 Aramaio distrito 01;Percentil 50 de consumo eléctrico en kwh;2.281
0100301 Aramaio distrito 01;Percentil 75 de consumo eléctrico en kwh;3.336
0100301 Aramaio distrito 01;Percentil 90 de consumo eléctrico en kwh;4.868
0100401 Artziniega distrito 01;Percentil 10 de consumo eléctrico en kwh;596
0100401 Artziniega distrito 01;Percentil 25 de consumo eléctrico en kwh;1.087
0100401 Artziniega distrito 01;Percentil 50 de consumo eléctrico en kwh;1.933
0100401 Artziniega distrito 01;Percentil 75 de consumo eléctrico en kwh;3.007
0100401 Artziniega distrito 01;Percentil 90 de consumo eléctrico en kwh;4.286
0100801 Arratzua-Ubarrundia distrito 01;Percentil 10 de consumo eléctrico en kwh;645
0100801 Arratzua-Ubarrundia distrito 01;Percentil 25 de consumo eléctrico en kwh;1.463
0100801 Arratzua-Ubarrundia distrito 01;Percentil 50 de consumo eléctrico en kwh;2.540
0100801 Arratzua-Ubarrundia distrito 01;Percentil 75 de consumo eléctrico en kwh;3.934
0100801 Arratzua-Ubarrundia distrito 01;Percentil 90 de consumo eléctrico en kwh;5.484
0100901 Asparrena distrito 01;Percentil 10 de consumo eléctrico en kwh;545
0100901 Asparrena distrito 01;Percentil 25 de consumo eléctrico en kwh;1.002
0100901 Asparrena distrito 01;Percentil 50 de consumo eléctrico en kwh;1.767
0100901 Asparrena distrito 01;Percentil 75 de consumo eléctrico en kwh;2.664
0100901 Asparrena distrito 01;Percentil 90 de consumo eléctrico en kwh;3.736
0101001 Ayala/Aiara distrito 01;Percentil 10 de consumo eléctrico en kwh;728
0101001 Ayala/Aiara distrito 01;Percentil 25 de consumo eléctrico en kwh;1.377
0101001 Ayala/Aiara distrito 01;Percentil 50 de consumo eléctrico en kwh;2.338
0101001 Ayala/Aiara distrito 01;Percentil 75 de consumo eléctrico en kwh;3.387
