CUSEC,CUMUN,CSEC,CPRO,CCA,CUDIS,CLAU2,NPRO,NCA,CNUT0,CNUT1,CNUT2,CNUT3,NMUN,airbnb_listings,airbnb_entire_homes,airbnb_price_median,airbnb_accommodates_total,airbnb_revenue_total,airbnb_hosts_unicos,airbnb_con_licencia,viviendas_totales,consumo_p10_kwh,consumo_p25_kwh,consumo_p50_kwh,consumo_p75_kwh,consumo_p90_kwh,isla,fuente,granularidad,hut_registros,hut_plazas,hut_habitaciones,viviendas_vacias_pct_ccaa,viviendas_uso_esporadico_pct_ccaa,viviendas_turisticas_pct_ccaa_2025M05,plazas_turisticas,airbnb_listings_por_1000_viviendas
0700101001,07001,001,07,04,0700101,07001,"Balears, Illes",Illes Balears,ES,5,3,2,Alaró,8,7,856.0,52,188738,7,8,3246,1.016,2.021,3.507,5.301,7.614,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,52,2.4645717806531118
0700101002,07001,002,07,04,0700101,07001,"Balears, Illes",Illes Balears,ES,5,3,2,Alaró,59,57,457.7,353,1330661,45,59,3246,1.016,2.021,3.507,5.301,7.614,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,353,18.176216882316698
0700102001,07001,001,07,04,0700102,07001,"Balears, Illes",Illes Balears,ES,5,3,2,Alaró,2,2,1580.125,20,23582,2,2,3246,920.0,1.982,3.181,5.084,7.858,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,20,0.6161429451632779
0700201001,07002,001,07,04,0700201,07002,"Balears, Illes",Illes Balears,ES,5,3,3,Alaior,11,11,368.1,70,122510,8,11,6968,0.0,0.0,0.0,0.0,0.0,Menorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,70,1.5786452353616531
0700201002,07002,002,07,04,0700201,07002,"Balears, Illes",Illes Balears,ES,5,3,3,Alaior,356,352,364.5,1967,3878460,129,339,6968,0.0,0.0,0.0,0.0,0.0,Menorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,1967,51.09070034443169
0700202001,07002,001,07,04,0700202,07002,"Balears, Illes",Illes Balears,ES,5,3,3,Alaior,14,14,411.71,102,140798,14,14,6968,0.0,0.0,0.0,0.0,0.0,Menorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,102,2.0091848450057403
0700202002,07002,002,07,04,0700202,07002,"Balears, Illes",Illes Balears,ES,5,3,3,Alaior,11,11,629.33,76,177469,11,10,6968,0.0,0.0,0.0,0.0,0.0,Menorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,76,1.5786452353616531
0700202003,07002,003,07,04,0700202,07002,"Balears, Illes",Illes Balears,ES,5,3,3,Alaior,235,231,295.0,1170,3021631,115,228,6968,0.0,0.0,0.0,0.0,0.0,Menorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,1170,33.7256027554535
0700301001,07003,001,07,04,0700301,07003,"Balears, Illes",Illes Balears,ES,5,3,2,Alcúdia,68,59,404.0,376,669002,43,66,12711,1.103,2.1,3.359,4.882,6.477,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,376,5.349697112736999
0700301002,07003,002,07,04,0700301,07003,"Balears, Illes",Illes Balears,ES,5,3,2,Alcúdia,25,25,366.86,145,155943,21,25,12711,1.103,2.1,3.359,4.882,6.477,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,145,1.966800409094485
0700301003,07003,003,07,04,0700301,07003,"Balears, Illes",Illes Balears,ES,5,3,2,Alcúdia,3,3,445.14,22,50000,3,3,12711,1.103,2.1,3.359,4.882,6.477,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,22,0.2360160490913382
0700301004,07003,004,07,04,0700301,07003,"Balears, Illes",Illes Balears,ES,5,3,2,Alcúdia,11,11,1497.835,79,92150,8,11,12711,1.103,2.1,3.359,4.882,6.477,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,79,0.8653921800015734
0700302001,07003,001,07,04,0700302,07003,"Balears, Illes",Illes Balears,ES,5,3,2,Alcúdia,503,503,503.78999999999996,3445,7035628,212,501,12711,823.0,1.604,3.177,5.348,8.22,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,3445,39.572024230981036
0700303001,07003,001,07,04,0700303,07003,"Balears, Illes",Illes Balears,ES,5,3,2,Alcúdia,52,50,353.5,240,1384646,30,52,12711,827.0,1.755,3.085,4.758,6.59,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,240,4.090944850916529
0700303002,07003,002,07,04,0700303,07003,"Balears, Illes",Illes Balears,ES,5,3,2,Alcúdia,89,88,625.485,637,2029603,56,89,12711,827.0,1.755,3.085,4.758,6.59,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,637,7.001809456376367
0700303003,07003,003,07,04,0700303,07003,"Balears, Illes",Illes Balears,ES,5,3,2,Alcúdia,19,18,383.0,106,458293,18,19,12711,827.0,1.755,3.085,4.758,6.59,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,106,1.4947683109118086
0700304001,07003,001,07,04,0700304,07003,"Balears, Illes",Illes Balears,ES,5,3,2,Alcúdia,292,288,367.125,1493,4513918,116,290,12711,533.0,920.0,1.925,3.611,5.387,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,1493,22.972228778223588
0700304002,07003,002,07,04,0700304,07003,"Balears, Illes",Illes Balears,ES,5,3,2,Alcúdia,159,152,333.4,832,1810714,89,159,12711,533.0,920.0,1.925,3.611,5.387,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,832,12.508850601840924
0700304003,07003,003,07,04,0700304,07003,"Balears, Illes",Illes Balears,ES,5,3,2,Alcúdia,128,127,374.42,638,2054199,83,127,12711,533.0,920.0,1.925,3.611,5.387,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,638,10.070018094563762
0700401001,07004,001,07,04,0700401,07004,"Balears, Illes",Illes Balears,ES,5,3,2,Algaida,9,8,455.0,46,167137,7,9,4306,0.0,0.0,0.0,0.0,0.0,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,46,2.0901068276823036
0700401002,07004,002,07,04,0700401,07004,"Balears, Illes",Illes Balears,ES,5,3,2,Algaida,40,40,736.0,241,920790,26,40,4306,0.0,0.0,0.0,0.0,0.0,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,241,9.289363678588018
0700501001,07005,001,07,04,0700501,07005,"Balears, Illes",Illes Balears,ES,5,3,2,Andratx,12,12,290.4,54,363772,12,12,11753,1.083,1.988,3.226,4.768,6.785,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,54,1.021015910831277
0700501002,07005,002,07,04,0700501,07005,"Balears, Illes",Illes Balears,ES,5,3,2,Andratx,17,14,510.91999999999996,119,172530,14,17,11753,1.083,1.988,3.226,4.768,6.785,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,119,1.446439207010976
0700501003,07005,003,07,04,0700501,07005,"Balears, Illes",Illes Balears,ES,5,3,2,Andratx,19,19,510.975,119,233917,16,19,11753,1.083,1.988,3.226,4.768,6.785,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,119,1.6166085254828555
0700502001,07005,001,07,04,0700502,07005,"Balears, Illes",Illes Balears,ES,5,3,2,Andratx,100,89,854.665,683,1847396,57,100,11753,652.0,1.28,2.666,5.312,9.293,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,683,8.508465923593976
0700503001,07005,001,07,04,0700503,07005,"Balears, Illes",Illes Balears,ES,5,3,2,Andratx,32,32,429.33500000000004,190,982703,19,32,11753,469.0,912.0,2.146,4.492,7.045,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,190,2.7227090955500723
0700601001,07006,001,07,04,0700601,07006,"Balears, Illes",Illes Balears,ES,5,3,2,Artà,233,220,423.78499999999997,1370,2287222,125,232,6092,0.0,0.0,0.0,0.0,0.0,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,1370,38.24688115561392
0700601002,07006,002,07,04,0700601,07006,"Balears, Illes",Illes Balears,ES,5,3,2,Artà,48,46,355.57,278,453365,36,48,6092,0.0,0.0,0.0,0.0,0.0,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,278,7.879185817465528
0700601003,07006,003,07,04,0700601,07006,"Balears, Illes",Illes Balears,ES,5,3,2,Artà,62,60,407.43,359,305747,33,62,6092,0.0,0.0,0.0,0.0,0.0,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,359,10.177281680892973
0700602001,07006,001,07,04,0700602,07006,"Balears, Illes",Illes Balears,ES,5,3,2,Artà,36,35,431.355,210,125187,32,36,6092,0.0,0.0,0.0,0.0,0.0,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,210,5.909389363099146
0700602002,07006,002,07,04,0700602,07006,"Balears, Illes",Illes Balears,ES,5,3,2,Artà,52,49,400.43,300,235437,39,52,6092,0.0,0.0,0.0,0.0,0.0,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,300,8.535784635587657
0700701001,07007,001,07,04,0700701,07007,"Balears, Illes",Illes Balears,ES,5,3,2,Banyalbufar,58,50,310.0,303,1470785,47,58,0,0.0,0.0,0.0,0.0,0.0,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,303,0.0
0700801001,07008,001,07,04,0700801,07008,"Balears, Illes",Illes Balears,ES,5,3,2,Binissalem,19,19,474.9,154,190685,18,19,4561,0.0,0.0,0.0,0.0,0.0,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,154,4.165753124314843
0700801002,07008,002,07,04,0700801,07008,"Balears, Illes",Illes Balears,ES,5,3,2,Binissalem,14,14,320.0,82,204502,12,14,4561,0.0,0.0,0.0,0.0,0.0,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,82,3.0695023021267263
0700802001,07008,001,07,04,0700802,07008,"Balears, Illes",Illes Balears,ES,5,3,2,Binissalem,27,27,486.8,184,448639,23,27,4561,0.0,0.0,0.0,0.0,0.0,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,184,5.91975443981583
0700802002,07008,002,07,04,0700802,07008,"Balears, Illes",Illes Balears,ES,5,3,2,Binissalem,15,14,371.0,104,272108,15,15,4561,0.0,0.0,0.0,0.0,0.0,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,104,3.28875246656435
0700802003,07008,003,07,04,0700802,07008,"Balears, Illes",Illes Balears,ES,5,3,2,Binissalem,5,5,905.0,47,71040,5,5,4561,0.0,0.0,0.0,0.0,0.0,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,47,1.0962508221881166
0700901001,07009,001,07,04,0700901,07009,"Balears, Illes",Illes Balears,ES,5,3,2,Búger,141,140,393.33,930,910068,69,140,888,972.0,2.077,3.515,5.471,7.776,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,930,158.78378378378378
0701001001,07010,001,07,04,0701001,07010,"Balears, Illes",Illes Balears,ES,5,3,2,Bunyola,38,37,392.28499999999997,250,1102079,31,38,3671,1.383,2.481,4.054,6.151,8.67,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,250,10.351402887496594
0701001002,07010,002,07,04,0701001,07010,"Balears, Illes",Illes Balears,ES,5,3,2,Bunyola,6,6,561.33,43,256435,6,6,3671,1.383,2.481,4.054,6.151,8.67,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,43,1.6344320348678834
0701101001,07011,001,07,04,0701101,07011,"Balears, Illes",Illes Balears,ES,5,3,2,Calvià,1,1,567.0,6,13608,1,1,36492,1.215,2.327,3.962,6.335,9.334,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,6,0.027403266469363148
